position,nick,tag,puuid,matches,meanFinalScore
1,FEFE TA DE SWAIN,DEMON,DYkE05BCPvLHNvzu-abloUmiknnR9LQULpC71MaFwmE2J0uBrbZfvEviaYDAUcaEU-O-NXW56ppFXg,29,54.51267131471315
2,Winter,169,B3FeOVXhbzsiACzuf345JOVNd7JZ0hK_1YKzE3ezLAcgQJFQT8apTBV7P760d8xIP_RrFPM3sDtGZQ,20,50.59482555567422
3,Naguinha,INTEN,GMjVGiF4ek8-TS1TKX4lpzCWbn4SE5XYxhDitKCBEb34cgrZkI1EO8gD06fuNkGYv8MOp9DJZO581Q,21,49.43105650262061
4,Ezfalse,br1,_eVUuWwFBVCqzWIEXNmQH0XEmFfxzykM7jwhWQlj5Da4Gd_TQMMzUlfMAcEcLob0iUkbz9YL3irhKA,12,48.67008333055599
5,Guizinha,INTEN,KueMddOy3K_UqcVdA13Pzrye0ufJ8xdqjzn_hvy7CE5b2en7-Q9sHF23kiktciGXPg5TXMe5gwHgWg,24,47.66989761736583
6,Sylas 1v9,BR1,UPjw6-Q5wW-k1t92aJaessYuU7OQig1rk0v3ALiDpsxHwkwVHCUtrZ-nzcjCQKmM-WHvf9fPx408ZA,34,47.5056362620655
7,Sugiro Correr,BR1,MqfeJwfejg08ue7fj9dekS8_JzrE9rR-TSP10BnZmalMBf6dNjS4R6C3ZPGE5W1otUuQanzwS5FUvw,38,46.498569352776315
8,O Magro de OZ,BR1,C-wmPkxrDFHqRraWSfvX5xcy_Ld1_ob0959GCUP0jB0f4Fibuhvvt2fqsSwQXZ291MSNhHlMzYciUA,55,45.856682302691176
9,Faisca,pregu,Hh4jcp8pmKe-UPwVUmhvyaLJsXgZJEt_ZQ999lRplEP8F0cXLPXVruARPm82arJr_J2TmF5ThSJ12g,39,43.60471340239092
10,Rebeca Diana,egirl,ckA1_xR4vI42c6jsIOyxQmQgryvMUF0Oz6ftSPtPxBd6h1Xc-oJY1FLg3Gznir904eyK-KsrD9sbvg,41,43.29517379808441
11,Guiza,INTEN,2btdTmXa3quTEpNzYZFUm45ySAfs8tIU9Nc3zlXDYWETK6Zr5hRHDxRF8E0517Un8U-7qKIFrIfLiw,5,42.78217851261629
12,MEC Viper,NOIA,QFYRDT51sgojAE6Vhr5SkGi_okBy4czQ0cjbsYCKq9MrH04C1dklRZTQq6Ov4Ve8RVMWGQG4QWqB0Q,14,40.15260986759728
13,Murakami UHULL,br1,RdAC2eV1HRS-Vd5-yJiNYnn1G9VfZITebUDifqa0RRFi18Ka6pMqMMdC-FHSirQwFZJ-ltw3wRHuqQ,24,38.92252464081309
14,PabIo Escobar,INTEN,lc3VP49IL5sYOUv23oIBvFHFIHQTXK23boStGy7WplVcWQ0kaw4_gVewVdxfYOwyW4czRvktb0ElGw,32,37.56552219357581
15,Gabinho,INTEN,fXVHYfb7EQZCcscdVUQ2pimnwZWUCbcdZ_6d2P7ItA-lJZst2lvkQzVCRJLoHCwtiVkel6Dc_sfBqw,45,32.068015459814156
16,Asta,PRG,-TLHRw4hWBqywEmFjT6QtnVltXdCnIr_PpCPymjwuQw0ZMaaeiaaFjPrBwKuzUFVYQNO7BA02M-xwg,6,27.453328144436714
