position,nick,tag,puuid,matches,meanFinalScore,meanKDA
1,Ezfalse,br1,_eVUuWwFBVCqzWIEXNmQH0XEmFfxzykM7jwhWQlj5Da4Gd_TQMMzUlfMAcEcLob0iUkbz9YL3irhKA,12,48.67008333055599,8.062301587301588
2,FEFE TA DE SWAIN,DEMON,DYkE05BCPvLHNvzu-abloUmiknnR9LQULpC71MaFwmE2J0uBrbZfvEviaYDAUcaEU-O-NXW56ppFXg,23,54.22279846937555,7.13488612836439
3,PabIo Escobar,INTEN,lc3VP49IL5sYOUv23oIBvFHFIHQTXK23boStGy7WplVcWQ0kaw4_gVewVdxfYOwyW4czRvktb0ElGw,27,37.331428796504255,6.885993533215753
4,Guizinha,INTEN,KueMddOy3K_UqcVdA13Pzrye0ufJ8xdqjzn_hvy7CE5b2en7-Q9sHF23kiktciGXPg5TXMe5gwHgWg,28,54.257987111058625,5.665700371057512
5,Sugiro Correr,BR1,MqfeJwfejg08ue7fj9dekS8_JzrE9rR-TSP10BnZmalMBf6dNjS4R6C3ZPGE5W1otUuQanzwS5FUvw,40,45.9324254799652,4.921471861471862
6,Faisca,pregu,Hh4jcp8pmKe-UPwVUmhvyaLJsXgZJEt_ZQ999lRplEP8F0cXLPXVruARPm82arJr_J2TmF5ThSJ12g,50,43.23969735594067,4.669015151515151
7,O Magro de OZ,BR1,C-wmPkxrDFHqRraWSfvX5xcy_Ld1_ob0959GCUP0jB0f4Fibuhvvt2fqsSwQXZ291MSNhHlMzYciUA,65,47.14497799024786,4.499472194472195
8,Murakami UHULL,br1,RdAC2eV1HRS-Vd5-yJiNYnn1G9VfZITebUDifqa0RRFi18Ka6pMqMMdC-FHSirQwFZJ-ltw3wRHuqQ,29,39.00340027088292,3.9366629539043343
9,Rebeca Diana,egirl,ckA1_xR4vI42c6jsIOyxQmQgryvMUF0Oz6ftSPtPxBd6h1Xc-oJY1FLg3Gznir904eyK-KsrD9sbvg,38,47.08842727090131,3.7864527285579928
10,Naguinha,INTEN,GMjVGiF4ek8-TS1TKX4lpzCWbn4SE5XYxhDitKCBEb34cgrZkI1EO8gD06fuNkGYv8MOp9DJZO581Q,21,49.43105650262061,3.698884448884449
11,Sylas 1v9,BR1,UPjw6-Q5wW-k1t92aJaessYuU7OQig1rk0v3ALiDpsxHwkwVHCUtrZ-nzcjCQKmM-WHvf9fPx408ZA,23,47.62707825612133,3.409415946372468
12,MEC Viper,NOIA,QFYRDT51sgojAE6Vhr5SkGi_okBy4czQ0cjbsYCKq9MrH04C1dklRZTQq6Ov4Ve8RVMWGQG4QWqB0Q,14,40.152609867597285,3.0174706246134817
13,Winter,169,B3FeOVXhbzsiACzuf345JOVNd7JZ0hK_1YKzE3ezLAcgQJFQT8apTBV7P760d8xIP_RrFPM3sDtGZQ,17,50.30470569132532,3.001956540191834
14,Guiza,INTEN,2btdTmXa3quTEpNzYZFUm45ySAfs8tIU9Nc3zlXDYWETK6Zr5hRHDxRF8E0517Un8U-7qKIFrIfLiw,5,42.78217851261629,2.933939393939394
15,Gabinho,INTEN,fXVHYfb7EQZCcscdVUQ2pimnwZWUCbcdZ_6d2P7ItA-lJZst2lvkQzVCRJLoHCwtiVkel6Dc_sfBqw,58,34.70648749613047,2.6292274775033397
16,Asta,PRG,-TLHRw4hWBqywEmFjT6QtnVltXdCnIr_PpCPymjwuQw0ZMaaeiaaFjPrBwKuzUFVYQNO7BA02M-xwg,6,27.453328144436714,1.5623015873015873
