team_position,position,nick,matches,meanFinalScore,puuid
TOP,1,Ezfalse#br1,2,69.71437177368362,_eVUuWwFBVCqzWIEXNmQH0XEmFfxzykM7jwhWQlj5Da4Gd_TQMMzUlfMAcEcLob0iUkbz9YL3irhKA
TOP,2,O Magro de OZ#BR1,1,67.86670123199737,C-wmPkxrDFHqRraWSfvX5xcy_Ld1_ob0959GCUP0jB0f4Fibuhvvt2fqsSwQXZ291MSNhHlMzYciUA
TOP,3,Guizinha#INTEN,6,58.10646805807317,KueMddOy3K_UqcVdA13Pzrye0ufJ8xdqjzn_hvy7CE5b2en7-Q9sHF23kiktciGXPg5TXMe5gwHgWg
TOP,4,Winter#169,16,51.92954812783861,B3FeOVXhbzsiACzuf345JOVNd7JZ0hK_1YKzE3ezLAcgQJFQT8apTBV7P760d8xIP_RrFPM3sDtGZQ
TOP,5,Rebeca Diana#egirl,15,51.500641428980174,ckA1_xR4vI42c6jsIOyxQmQgryvMUF0Oz6ftSPtPxBd6h1Xc-oJY1FLg3Gznir904eyK-KsrD9sbvg
TOP,6,FEFE TA DE SWAIN#DEMON,8,50.17756024313178,DYkE05BCPvLHNvzu-abloUmiknnR9LQULpC71MaFwmE2J0uBrbZfvEviaYDAUcaEU-O-NXW56ppFXg
TOP,7,Murakami UHULL#br1,2,48.66588999568529,RdAC2eV1HRS-Vd5-yJiNYnn1G9VfZITebUDifqa0RRFi18Ka6pMqMMdC-FHSirQwFZJ-ltw3wRHuqQ
TOP,8,Sylas 1v9#BR1,17,47.798873223935516,UPjw6-Q5wW-k1t92aJaessYuU7OQig1rk0v3ALiDpsxHwkwVHCUtrZ-nzcjCQKmM-WHvf9fPx408ZA
TOP,9,Faisca#pregu,1,45.97584975569865,Hh4jcp8pmKe-UPwVUmhvyaLJsXgZJEt_ZQ999lRplEP8F0cXLPXVruARPm82arJr_J2TmF5ThSJ12g
TOP,10,Naguinha#INTEN,3,41.8963404911391,GMjVGiF4ek8-TS1TKX4lpzCWbn4SE5XYxhDitKCBEb34cgrZkI1EO8gD06fuNkGYv8MOp9DJZO581Q
TOP,11,Gabinho#INTEN,10,41.77875330076763,fXVHYfb7EQZCcscdVUQ2pimnwZWUCbcdZ_6d2P7ItA-lJZst2lvkQzVCRJLoHCwtiVkel6Dc_sfBqw
TOP,12,Guiza#INTEN,1,40.17846318126905,2btdTmXa3quTEpNzYZFUm45ySAfs8tIU9Nc3zlXDYWETK6Zr5hRHDxRF8E0517Un8U-7qKIFrIfLiw
TOP,13,PabIo Escobar#INTEN,2,36.40431035585292,lc3VP49IL5sYOUv23oIBvFHFIHQTXK23boStGy7WplVcWQ0kaw4_gVewVdxfYOwyW4czRvktb0ElGw
TOP,14,Asta#PRG,2,24.62163906457139,-TLHRw4hWBqywEmFjT6QtnVltXdCnIr_PpCPymjwuQw0ZMaaeiaaFjPrBwKuzUFVYQNO7BA02M-xwg
JG,1,Murakami UHULL#br1,3,77.74425117651465,RdAC2eV1HRS-Vd5-yJiNYnn1G9VfZITebUDifqa0RRFi18Ka6pMqMMdC-FHSirQwFZJ-ltw3wRHuqQ
JG,2,Ezfalse#br1,2,59.25611692019405,_eVUuWwFBVCqzWIEXNmQH0XEmFfxzykM7jwhWQlj5Da4Gd_TQMMzUlfMAcEcLob0iUkbz9YL3irhKA
JG,3,Naguinha#INTEN,15,54.507668812931975,GMjVGiF4ek8-TS1TKX4lpzCWbn4SE5XYxhDitKCBEb34cgrZkI1EO8gD06fuNkGYv8MOp9DJZO581Q
JG,4,Guizinha#INTEN,4,54.339770691192555,KueMddOy3K_UqcVdA13Pzrye0ufJ8xdqjzn_hvy7CE5b2en7-Q9sHF23kiktciGXPg5TXMe5gwHgWg
JG,5,Sugiro Correr#BR1,4,53.43185183951139,MqfeJwfejg08ue7fj9dekS8_JzrE9rR-TSP10BnZmalMBf6dNjS4R6C3ZPGE5W1otUuQanzwS5FUvw
JG,6,Rebeca Diana#egirl,12,53.20880574705867,ckA1_xR4vI42c6jsIOyxQmQgryvMUF0Oz6ftSPtPxBd6h1Xc-oJY1FLg3Gznir904eyK-KsrD9sbvg
JG,7,O Magro de OZ#BR1,6,51.303204063699205,C-wmPkxrDFHqRraWSfvX5xcy_Ld1_ob0959GCUP0jB0f4Fibuhvvt2fqsSwQXZ291MSNhHlMzYciUA
JG,8,Faisca#pregu,33,49.99607792102387,Hh4jcp8pmKe-UPwVUmhvyaLJsXgZJEt_ZQ999lRplEP8F0cXLPXVruARPm82arJr_J2TmF5ThSJ12g
JG,9,Sylas 1v9#BR1,1,44.58927277682882,UPjw6-Q5wW-k1t92aJaessYuU7OQig1rk0v3ALiDpsxHwkwVHCUtrZ-nzcjCQKmM-WHvf9fPx408ZA
JG,10,Gabinho#INTEN,13,40.169284476738945,fXVHYfb7EQZCcscdVUQ2pimnwZWUCbcdZ_6d2P7ItA-lJZst2lvkQzVCRJLoHCwtiVkel6Dc_sfBqw
MID,1,FEFE TA DE SWAIN#DEMON,14,55.14624051581503,DYkE05BCPvLHNvzu-abloUmiknnR9LQULpC71MaFwmE2J0uBrbZfvEviaYDAUcaEU-O-NXW56ppFXg
MID,2,Guizinha#INTEN,6,49.86820576397872,KueMddOy3K_UqcVdA13Pzrye0ufJ8xdqjzn_hvy7CE5b2en7-Q9sHF23kiktciGXPg5TXMe5gwHgWg
MID,3,Sylas 1v9#BR1,5,47.65053646141158,UPjw6-Q5wW-k1t92aJaessYuU7OQig1rk0v3ALiDpsxHwkwVHCUtrZ-nzcjCQKmM-WHvf9fPx408ZA
MID,4,O Magro de OZ#BR1,48,47.0076887042091,C-wmPkxrDFHqRraWSfvX5xcy_Ld1_ob0959GCUP0jB0f4Fibuhvvt2fqsSwQXZ291MSNhHlMzYciUA
MID,5,Rebeca Diana#egirl,2,46.87691587943657,ckA1_xR4vI42c6jsIOyxQmQgryvMUF0Oz6ftSPtPxBd6h1Xc-oJY1FLg3Gznir904eyK-KsrD9sbvg
MID,6,Murakami UHULL#br1,5,45.46694275434032,RdAC2eV1HRS-Vd5-yJiNYnn1G9VfZITebUDifqa0RRFi18Ka6pMqMMdC-FHSirQwFZJ-ltw3wRHuqQ
MID,7,PabIo Escobar#INTEN,8,43.24913905086353,lc3VP49IL5sYOUv23oIBvFHFIHQTXK23boStGy7WplVcWQ0kaw4_gVewVdxfYOwyW4czRvktb0ElGw
MID,8,Sugiro Correr#BR1,1,38.28342923472331,MqfeJwfejg08ue7fj9dekS8_JzrE9rR-TSP10BnZmalMBf6dNjS4R6C3ZPGE5W1otUuQanzwS5FUvw
MID,9,Gabinho#INTEN,2,31.580558442188845,fXVHYfb7EQZCcscdVUQ2pimnwZWUCbcdZ_6d2P7ItA-lJZst2lvkQzVCRJLoHCwtiVkel6Dc_sfBqw
